,난민 지위,전쟁 난민 인원 현황
78633,G / FI,2623
78634,G / RA,0
78635,G / AR,613
78636,G / FI,1765
78637,U / FI,5
78638,G / AR,0
78639,G / FI,3
78640,U / FA,53
78641,G / FI,0
78642,G / FI,0
78643,G / FI,1
78644,G / FI,13
78645,G / FI,9
78646,U / FI,3
78647,G / FA,4
78648,G / FI,5
78649,G / TA,7
78650,G / FI,0
78651,U / FI,4
78652,G / FA,55
78653,U / FI,0
78654,G / FI,0
78655,G / FI,8
78656,U / FI,3
78657,G / FI,52
78658,G / FI,24
78659,G / AR,738
78660,G / FI,2967
78661,U / AR,2
78662,U / FI,673
78663,J / FI,0
78664,U / AR,0
78665,U / FI,52
78666,U / FI,2
78667,U / FA,1066
78668,U / AR,45
78669,U / FI,420
78670,U / RA,4
78671,J / FI,0
78672,G / FA,3173
78673,G / FA,135
78674,G / JR,50
78675,U / FI,20
78676,G / EO,355
78677,G / IN,73
78678,G / FI,0
78679,G / FI,4308
78680,G / FI,64
78681,G / FI,11
78682,G / FA,7
78683,G / AR,2
78684,G / FI,1
78685,G / FA,1956
78686,G / FI,5697
78687,G / RA,0
78688,G / FA,2
78689,G / FA,103
78690,G / FI,129
78691,G / FI,1273
78692,G / TP,116
78693,G / AR,3
78694,G / FI,5
78695,G / FI,1
78696,G / JR,0
78697,G / NA,5966
78698,G / RA,2933
78699,G / AR,10
78700,G / FI,6
78701,G / FA,0
78702,G / FI,2
78703,G / FI,202
78704,G / FI,3759
78705,G / JR,3931
78706,G / RA,0
78707,G / RA,5
78708,G / AR,11
78709,G / FI,53
78710,G / FA,1
78711,G / AR,0
78712,G / FI,4
78713,G / AR,2
78714,G / FI,4
78715,G / FI,232
78716,G / AR,10
78717,G / FI,13
78718,G / SP,1
78719,G / AR,0
78720,G / FI,2
78721,G / FI,307
78722,G / FI,31
78723,G / FI,472
78724,G / JR,14
78725,G / RA,0
78726,G / FA,0
78727,G / FA,18
78728,G / JR,10
78729,G / FI,142
78730,G / RA,0
78731,G / AR,310
78732,G / FI,246
78733,G / AR,2
78734,G / FI,2
78735,G / FA,5
78736,G / FI,5
78737,G / TA,1
78738,G / FI,5
78739,G / FI,40
78740,G / AR,2994
78741,G / FI,3781
78742,G / FI,0
78743,G / FA,0
78744,G / EO,53
78745,G / IN,85
78746,G / FI,1
78747,G / FI,0
78748,G / NA,0
78749,G / RA,0
78750,G / FI,1
78751,G / FI,0
78752,G / EO,0
78753,G / FI,1
78754,G / FI,0
78755,G / FI,1
78756,G / FI,4
78757,G / RA,0
78758,G / FI,3
78759,G / JR,5
78760,G / AR,1
78761,G / FI,1
78762,G / FI,2
78763,G / EO,12
78764,G / IN,4
78765,G / FI,0
78766,G / FA,7
78767,G / FI,44
78768,G / RA,0
78769,G / FI,2
78770,G / FI,225
78771,G / FI,3
78772,G / TP,0
78773,G / FI,0
78774,G / JR,0
78775,G / NA,0
78776,G / RA,8
78777,G / FI,0
78778,G / FI,3
78779,G / FI,0
78780,G / RA,0
78781,G / FI,0
78782,G / AR,1
78783,G / FI,2
78784,G / EO,9
78785,G / IN,5
78786,G / FA,1
78787,G / FI,9
78788,G / FI,1
78789,G / FI,0
78790,G / EO,5
78791,G / FI,1
78792,G / FA,0
78793,G / FI,14
78794,G / FI,1
78795,G / TP,0
78796,G / FI,2
78797,G / FI,1
78798,G / FI,0
78799,G / FI,1
78800,G / AR,3
78801,G / FI,0
78802,G / EO,5
78803,G / IN,1
78804,G / FI,39
78805,G / FA,1
78806,G / JR,1
78807,G / AR,4
78808,G / FI,6
78809,G / FI,1
78810,G / AR,3
78811,G / FI,4
78812,G / SP,0
78813,G / FI,1
78814,G / EO,1
78815,G / IN,1
78816,G / FI,22
78817,G / FI,0
78818,G / FI,0
78819,G / FI,1
78820,G / JR,0
78821,G / FI,2
78822,G / JR,2
78823,G / RA,0
78824,G / AR,1
78825,G / FI,1
78826,G / AR,0
78827,G / FI,0
78828,U / AR,1
78829,G / EO,1
78830,U / FA,14
78831,G / FI,6
78832,G / JR,0
78833,G / AR,14
78834,G / FI,47
78835,G / FA,517
78836,G / FI,1
78837,U / FI,1
78838,G / FI,96
78839,G / RA,0
78840,G / FA,68
78841,U / FI,0
78842,G / FA,0
78843,G / FI,1
78844,G / FI,153
78845,G / FI,575
78846,G / TP,140
78847,U / FA,0
78848,G / FI,0
78849,G / AR,116
78850,G / FI,73
78851,U / FA,15
78852,G / FI,9
78853,G / JR,0
78854,G / NA,816
78855,G / RA,228
78856,G / AR,174
78857,G / FI,548
78858,G / FI,0
78859,U / FI,0
78860,G / FA,4
78861,U / AR,1
78862,U / FI,8
78863,G / FI,4
78864,G / FI,48
78865,G / FI,56
78866,G / JR,52
78867,G / RA,1
78868,G / AR,120
78869,G / FI,360
78870,G / AR,1
78871,G / FI,192
78872,G / AR,1
78873,G / FI,9
78874,G / FI,71
78875,U / FA,0
78876,U / FI,0
78877,G / AR,0
78878,G / FI,6
78879,G / SP,0
78880,U / FI,1
78881,U / FI,1
78882,G / AR,2
78883,G / FI,3
78884,U / FI,1
78885,G / FI,108
78886,U / FA,67
78887,G / FI,0
78888,G / FI,0
78889,G / FI,1
78890,U / FA,2
78891,G / FA,0
78892,U / FI,12
78893,U / AR,9
78894,U / FI,155
78895,U / RA,0
78896,U / FA,1
78897,G / FI,1
78898,G / FI,6
78899,G / FI,5
78900,G / AR,4
78901,G / FI,0
78902,U / FI,0
78903,G / FA,7
78904,G / FA,2
78905,G / AR,3
78906,G / FI,51
78907,G / FA,1
78908,U / FI,11
78909,G / JR,6
78910,G / FI,86
78911,G / RA,0
78912,G / AR,120
78913,G / FI,111
78914,G / AR,3
78915,G / FI,1
78916,U / FI,0
78917,U / FA,0
78918,G / FI,0
78919,G / FI,0
78920,G / AR,2
78921,G / FI,11
78922,G / RA,0
78923,G / FA,30
78924,G / FI,24
78925,G / TA,11
78926,U / FI,0
78927,G / FI,13
78928,G / FI,8
78929,G / FI,5
78930,G / AR,456
78931,G / FI,498
78932,J / FI,2
78933,G / FI,1
78934,U / FI,2
78935,U / FA,5
78936,U / AR,13
78937,U / FI,48
78938,U / RA,7
78939,G / FA,26
78940,G / JR,15
78941,U / FI,8
78942,G / EO,65
78943,G / IN,123
78944,U / FA,27
78945,G / FI,1
78946,G / FA,61
78947,G / FI,1
78948,G / AR,1
78949,G / FI,1
78950,G / FA,2
78951,G / FI,16
78952,G / RA,0
78953,G / AR,2
78954,G / FI,1
78955,G / AR,2
78956,G / FI,23
78957,G / FA,0
78958,G / FI,0
78959,G / FI,32
78960,G / FI,13
78961,G / TP,0
78962,J / FA,1
78963,U / FA,300
78964,U / RA,64
78965,U / FI,0
78966,G / FA,102
78967,G / FI,0
78968,G / JR,0
78969,G / NA,3
78970,G / RA,1
78971,G / FI,2
78972,U / AR,2
78973,U / FI,10
78974,U / AR,0
78975,U / FI,1
78976,G / FI,9
78977,J / FI,1
78978,G / FI,1
78979,G / FI,130
78980,G / JR,176
78981,G / RA,0
78982,G / FA,4
78983,G / RA,0
78984,G / AR,5
78985,G / FI,12
78986,J / FA,0
78987,G / FA,1
78988,G / FI,1
78989,G / AR,0
78990,U / FI,1
78991,U / AR,1
78992,G / AR,0
78993,G / FI,1
78994,G / SP,1
78995,U / FI,7
78996,G / FI,130
78997,U / FA,2
78998,G / FA,1
78999,U / FI,4
79000,U / FI,0
79001,G / FI,0
79002,U / AR,2
79003,U / FI,6
79004,G / FI,0
79005,G / AR,10
79006,G / FI,16
79007,U / FA,1
79008,U / AR,1
79009,U / FI,1
79010,G / FI,1
79011,G / AR,2
79012,G / FI,3
79013,G / FA,12
79014,G / FI,7
79015,G / RA,0
79016,G / AR,5
79017,G / FI,7
79018,G / AR,0
79019,G / FI,2
79020,G / FA,1
79021,G / FA,212
79022,U / FI,8
79023,G / FI,3
79024,U / FI,1
79025,G / AR,3
79026,G / FI,3
79027,U / AR,0
79028,U / FI,11
79029,G / FI,1
79030,U / FI,1
79031,U / FA,99
79032,U / AR,3
79033,U / FI,0
79034,G / FA,1
79035,G / FA,1
79036,G / JR,0
79037,G / EO,34
79038,G / IN,13
79039,U / FA,0
79040,G / FI,1
79041,G / FA,0
79042,G / FI,0
79043,G / AR,1
79044,G / FI,1
79045,G / FA,6
79046,G / FI,153
79047,G / RA,0
79048,G / AR,14
79049,G / FI,8
79050,G / FI,0
79051,G / FI,0
79052,G / FI,15
79053,G / FI,115
79054,G / TP,8
79055,J / FA,10
79056,U / FA,5
79057,U / RA,1
79058,G / FA,5
79059,G / AR,3
79060,G / FI,6
79061,G / FI,3
79062,G / JR,0
79063,G / NA,69
79064,G / RA,21
79065,G / AR,1
79066,G / FI,1
79067,U / FI,1
79068,G / FA,1
79069,U / FI,0
79070,G / FI,26
79071,G / FI,7
79072,G / FI,106
79073,G / JR,122
79074,G / RA,0
79075,G / FA,1
79076,G / AR,7
79077,G / FI,4
79078,J / FA,0
79079,G / FA,9
79080,G / AR,0
79081,G / FI,3
79082,U / AR,9
79083,U / FI,6
79084,G / AR,1
79085,U / AR,1
79086,G / AR,5
79087,G / FI,4
79088,G / SP,4
79089,U / FI,2
79090,G / FI,176
79091,J / FA,14
79092,U / FI,0
79093,G / FI,1
79094,G / JR,0
79095,U / AR,3
79096,U / FI,8
79097,G / FI,0
79098,G / AR,26
79099,G / FI,10
79100,U / FA,6
79101,G / FI,0
79102,G / FI,1
79103,G / FA,4
79104,G / JR,2
79105,G / FI,26
79106,G / RA,0
79107,G / AR,9
79108,G / FI,4
79109,G / FI,0
79110,G / FA,0
79111,G / FI,1
79112,G / AR,7
79113,G / FI,9
79114,J / FI,1
79115,U / FI,2
79116,U / FI,4
79117,U / AR,0
79118,U / FI,2
79119,G / FA,0
79120,G / JR,1
79121,U / FI,3
79122,G / EO,70
79123,G / IN,51
79124,G / FI,6
79125,G / AR,15
79126,G / FI,16
79127,G / FA,0
79128,G / FI,79
79129,G / NA,0
79130,G / FI,101
79131,G / JR,14
79132,G / AR,1
79133,G / FI,10
79134,G / FI,2
79135,U / FI,0
79136,U / FA,5
79137,G / SP,0
79138,G / FI,3
79139,G / FI,2
79140,G / FA,0
79141,U / AR,0
79142,U / FI,2
79143,G / FI,2
79144,U / FI,1
79145,G / FI,1
79146,G / FI,1
79147,G / FI,1
79148,G / AR,2
79149,G / FI,5
79150,G / EO,24
79151,G / IN,7
79152,G / FI,3
79153,G / FI,0
79154,U / FI,2
79155,U / FI,0
79156,G / FI,1
79157,G / FI,0
79158,G / FA,25
79159,G / FI,1
79160,G / RA,0
79161,G / FA,0
79162,G / FI,9
79163,G / FI,2
79164,G / TP,0
79165,G / JR,0
79166,G / NA,66
79167,G / RA,4
79168,G / AR,1
79169,G / FI,0
79170,U / AR,0
79171,U / FI,12
79172,G / FI,6
79173,G / JR,11
79174,G / AR,2
79175,G / FI,3
79176,G / FA,1
79177,G / SP,0
79178,U / FI,2
79179,G / FI,7
79180,G / FA,6
79181,G / JR,3
79182,G / FI,16
79183,G / AR,22
79184,G / FI,15
79185,G / FI,1
79186,G / FI,0
79187,G / FI,14
79188,G / TA,17
79189,G / FI,1
79190,G / FI,2
79191,G / AR,44
79192,G / FI,41
79193,U / FI,0
79194,U / FI,20
79195,U / RA,2
79196,G / FA,3
79197,G / JR,1
79198,G / EO,41
79199,G / IN,62
79200,G / FA,0
79201,G / FI,1
79202,G / FA,1
79203,G / FI,2
79204,G / FI,3
79205,U / FA,0
79206,G / FI,1
79207,G / JR,0
79208,G / NA,5
79209,G / RA,2
79210,G / FI,0
79211,G / FI,0
79212,G / JR,2
79213,G / AR,0
79214,G / FI,1
79215,G / AR,0
79216,G / FI,3
79217,G / FI,0
79218,G / FI,0
79219,G / FI,0
79220,G / FA,1
79221,G / FI,2
79222,G / FI,2
79223,G / AR,2
79224,G / FI,0
79225,G / FA,1
79226,G / FI,5
79227,G / TA,1
79228,G / AR,5
79229,G / FI,5
79230,U / FI,0
79231,U / FI,6
79232,G / FA,0
79233,G / JR,0
79234,G / EO,19
79235,G / IN,22
79236,G / AR,3
79237,G / FA,0
79238,G / FI,6
79239,G / AR,24
79240,G / FI,33
79241,G / EO,3
79242,G / IN,0
79243,G / FA,1
79244,G / FI,134
79245,G / FI,0
79246,G / FI,0
79247,G / AR,9
79248,G / FI,14
79249,G / FI,4
79250,G / EO,53
79251,G / IN,37
79252,U / FA,10
79253,G / FI,2
79254,G / FA,171
79255,G / FI,35
79256,G / RA,0
79257,G / FA,9
79258,G / FA,1
79259,G / FI,0
79260,G / FI,48
79261,G / FI,2099
79262,G / TP,0
79263,G / AR,8
79264,G / FI,5
79265,G / FI,0
79266,G / JR,0
79267,G / NA,300
79268,G / RA,24
79269,G / AR,2
79270,G / FI,2
79271,U / FI,0
79272,U / AR,0
79273,U / FI,0
79274,G / FI,2
79275,G / FI,15
79276,G / FI,147
79277,G / JR,17
79278,G / RA,0
79279,G / RA,1
79280,G / AR,20
79281,G / FI,37
79282,G / FA,1
79283,G / AR,0
79284,G / FI,32
79285,G / AR,1
79286,G / FI,14
79287,G / FI,25
79288,U / FA,1
79289,U / FI,0
79290,G / FI,3307
79291,U / FA,12
79292,G / FI,7
79293,G / FA,1
79294,G / FI,1
79295,U / FI,2
79296,G / FA,1
79297,G / FA,1
79298,G / AR,3
79299,G / FI,6
79300,G / FA,28
79301,G / FI,14
79302,G / RA,0
79303,G / AR,28
79304,G / FI,75
79305,G / AR,0
79306,G / FI,3
79307,G / FI,6
79308,G / RA,0
79309,G / FA,209
79310,G / FI,16
79311,G / FI,1
79312,G / FI,25
79313,G / AR,58
79314,G / FI,90
79315,U / AR,1
79316,U / FI,17
79317,U / RA,1
79318,U / FI,12
79319,U / RA,1
79320,G / FA,0
79321,G / FA,3
79322,G / JR,1
79323,G / EO,17
79324,G / IN,10
79325,U / FA,2
79326,G / FI,0
79327,G / FI,1
79328,G / FI,10
79329,G / JR,0
79330,G / AR,43
79331,G / FI,123
79332,G / FA,884
79333,G / FI,246
79334,G / RA,0
79335,G / FA,7
79336,G / FI,0
79337,G / FI,0
79338,G / FI,341
79339,G / FI,414
79340,G / TP,28
79341,G / AR,39
79342,G / FI,62
79343,G / FI,2
79344,G / JR,0
79345,G / NA,1492
79346,G / RA,324
79347,G / AR,9
79348,G / FI,9
79349,G / FA,1
79350,G / FI,7
79351,G / FI,2
79352,G / FI,88
79353,G / FI,1760
79354,G / JR,1681
79355,G / RA,0
79356,G / RA,3
79357,G / AR,102
79358,G / FI,195
79359,G / AR,3
79360,G / FI,23
79361,U / FI,1
79362,G / AR,1
79363,G / FI,6
79364,G / FI,38
79365,G / AR,2
79366,G / SP,0
79367,U / FI,0
79368,G / FI,714
79369,U / FA,2
79370,G / AR,100
79371,G / FI,248
79372,G / FI,1
79373,U / FA,1
79374,U / AR,1
79375,U / FI,0
79376,G / FI,2
79377,G / FI,0
79378,G / FI,0
79379,G / FA,4
79380,G / AR,1
79381,G / FA,3
79382,U / FI,1
79383,G / JR,10
79384,G / FI,81
79385,G / RA,0
79386,G / AR,91
79387,G / FI,71
79388,G / AR,1
79389,G / FI,3
79390,G / FI,1
79391,G / AR,2
79392,G / FI,14
79393,G / RA,0
79394,G / FI,3
79395,G / FA,33
79396,G / FI,6
79397,G / FI,2
79398,G / FI,15
79399,G / FI,59
79400,G / AR,174
79401,G / FI,182
79402,U / FI,1
79403,G / FA,5
79404,G / JR,2
79405,U / FI,0
79406,G / EO,66
79407,G / IN,59
79408,G / FI,2
79409,U / FA,0
79410,G / FI,0
79411,G / FI,1
79412,G / AR,0
79413,G / FI,1
79414,G / FI,1
79415,G / AR,2
79416,G / FI,1
79417,G / FA,2
79418,G / FI,140
79419,G / RA,0
79420,G / FA,1
79421,G / FI,1
79422,G / FI,40
79423,G / FI,6
79424,G / TP,0
79425,U / FI,2
79426,G / JR,0
79427,G / NA,4
79428,G / RA,1
79429,G / FI,1
79430,G / FA,0
79431,J / FI,1
79432,G / FI,5
79433,G / RA,0
79434,G / AR,24
79435,G / FI,51
79436,G / AR,0
79437,G / FI,9
79438,U / FI,0
79439,U / FI,0
79440,G / AR,1
79441,G / FI,3
79442,G / SP,0
79443,G / FI,7
79444,G / FI,3
79445,U / AR,6
79446,U / FI,3
79447,U / FI,0
79448,G / FI,0
79449,G / FI,8
79450,G / JR,2
79451,G / FI,7
79452,G / RA,0
79453,G / AR,4
79454,G / FI,5
79455,G / AR,1
79456,G / FI,3
79457,G / FA,1
79458,U / FI,0
79459,G / FI,0
79460,U / FI,0
79461,U / FI,1
79462,G / AR,31
79463,G / FI,48
79464,U / AR,2
79465,U / FI,3
79466,G / FA,0
79467,G / EO,43
79468,G / IN,24
79469,U / FA,0
79470,G / FI,162
79471,G / AR,6
79472,G / FI,11
79473,G / FA,9
79474,G / FA,0
79475,G / FI,14
79476,G / RA,0
79477,G / FI,0
79478,G / FA,27
79479,G / FI,1
79480,G / FI,86
79481,G / FI,15
79482,G / TP,2
79483,U / FA,0
79484,U / FI,1
79485,G / FI,0
79486,G / JR,0
79487,G / NA,42
79488,G / RA,6
79489,G / AR,8
79490,G / FI,20
79491,G / FA,0
79492,U / AR,0
79493,U / FI,0
79494,G / FI,1
79495,J / FI,0
79496,G / FI,2
79497,G / FI,17
79498,G / JR,10
79499,G / FA,0
79500,G / RA,1
79501,G / AR,137
79502,G / FI,293
79503,J / FA,0
79504,G / AR,0
79505,G / FI,9
79506,G / FI,0
79507,U / AR,1
79508,U / FI,5
79509,U / RA,2
79510,G / FI,0
79511,G / FI,0
79512,U / FI,1
79513,G / AR,19
79514,G / FI,17
79515,G / SP,16
79516,U / FI,0
79517,G / FI,0
79518,G / FI,8
79519,U / FA,1
79520,G / FI,49
79521,U / AR,58
79522,U / FI,1
79523,G / FA,15
79524,G / FI,0
79525,U / AR,5
79526,U / FI,5
79527,G / AR,0
79528,G / FI,0
79529,G / AR,1
79530,G / FI,5
79531,G / FI,7
79532,G / AR,0
79533,G / FI,1
79534,G / FI,1
79535,G / JR,9
79536,G / FI,112
79537,G / RA,0
79538,G / AR,32
79539,G / FI,40
79540,G / AR,1
79541,G / FI,3
79542,G / FI,1
79543,G / FI,3
79544,G / RA,0
79545,G / FI,0
79546,G / FI,1
79547,G / TA,1
79548,G / FI,1
79549,U / FI,0
79550,G / FA,2
79551,U / FI,3
79552,G / AR,56
79553,G / FI,103
79554,U / FI,8
79555,U / AR,1
79556,U / FI,5
79557,U / RA,1
79558,J / FI,7
79559,G / FA,1
79560,G / JR,1
79561,U / FI,0
79562,G / EO,73
79563,G / IN,164
79564,G / FI,932
79565,G / FI,1
79566,G / FI,3
79567,G / FI,0
79568,G / AR,10
79569,G / FI,13
79570,G / FA,202
79571,G / FI,1
79572,G / FI,33
79573,G / RA,0
79574,G / FA,2
79575,G / FI,3
79576,G / FI,187
79577,G / FI,28
79578,G / TP,2
79579,G / FI,0
79580,G / AR,20
79581,G / FI,5
79582,G / FI,12
79583,G / JR,0
79584,G / NA,62
79585,G / RA,9
79586,G / FI,5
79587,G / FI,9
79588,G / FI,0
79589,G / FI,12
79590,G / FI,74
79591,G / JR,51
79592,G / RA,0
79593,G / AR,9
79594,G / FI,40
79595,G / AR,0
79596,G / FI,55
79597,G / AR,1
79598,G / FI,1
79599,G / FI,6
79600,G / AR,2
79601,G / FI,4
79602,G / SP,1
79603,G / FI,19
79604,G / FI,0
79605,G / FI,1
79606,G / FI,0
79607,G / FI,1
79608,G / FA,12
79609,G / JR,4
79610,G / FI,35
79611,G / RA,0
79612,G / AR,9
79613,G / FI,16
79614,G / FI,75
79615,G / RA,0
79616,G / FI,2
79617,G / FA,3
79618,G / FI,9
79619,G / TA,3
79620,G / FI,0
79621,G / FI,7
79622,G / FI,6
79623,G / AR,120
79624,G / FI,149
79625,G / EO,252
79626,G / IN,241
79627,G / FI,0
79628,G / FI,1
79629,G / FI,0
79630,G / FI,25
79631,G / FA,2
79632,G / FI,1
79633,G / FI,1
79634,G / FI,2
79635,G / AR,0
79636,G / FI,1
79637,G / FI,0
79638,G / EO,4
79639,G / IN,6
79640,G / FI,2
79641,G / AR,9
79642,G / FI,9
79643,G / FA,1
79644,G / FI,0
79645,G / RA,0
79646,G / FI,5
79647,G / FI,668
79648,G / FI,7
79649,U / FA,1
79650,G / FI,0
79651,G / JR,0
79652,G / FI,4
79653,U / FA,1
79654,G / FI,0
79655,G / JR,0
79656,G / NA,4
79657,U / FI,1
79658,G / FI,0
79659,G / FA,1
79660,G / FI,7
79661,G / FI,2
79662,G / JR,2
79663,G / AR,2
79664,G / FI,35
79665,G / FI,1
79666,G / FI,0
79667,U / FI,0
79668,U / AR,2
79669,U / FI,0
79670,G / AR,1
79671,G / FI,1
79672,G / FI,1
79673,G / SP,0
79674,G / FI,1
79675,G / FI,0
79676,G / FA,0
79677,G / FI,1
79678,G / JR,2
79679,G / FI,4
79680,G / AR,2
79681,G / FI,5
79682,G / AR,0
79683,G / FI,0
79684,G / FA,0
79685,G / FI,2
79686,G / AR,5
79687,G / FI,7
79688,G / FA,2
79689,G / FA,1
79690,G / IN,1
79691,G / FI,0
79692,G / FA,1
79693,G / AR,2
79694,G / FI,6
79695,G / FA,46
79696,G / FI,1
79697,U / FI,0
79698,G / FI,23
79699,G / RA,0
79700,G / FA,0
79701,G / AR,1
79702,G / FI,1
79703,G / FI,0
79704,G / FI,37
79705,G / FI,15
79706,G / TP,0
79707,G / AR,11
79708,G / FI,4
79709,G / FI,19
79710,G / JR,0
79711,G / NA,23
79712,G / RA,2
79713,G / AR,4
79714,G / FI,3
79715,G / FA,0
79716,U / AR,0
79717,U / FI,13
79718,G / FI,3
79719,G / FI,7
79720,G / FI,26
79721,G / JR,18
79722,G / RA,0
79723,G / AR,6
79724,G / FI,24
79725,G / FA,5
79726,G / AR,0
79727,G / FI,9
79728,G / FI,1
79729,U / AR,1
79730,U / FI,3
79731,G / AR,1
79732,G / FI,1
79733,G / SP,0
79734,U / FI,0
79735,G / FI,2
79736,G / FI,221
79737,U / FI,225
79738,G / FI,32
79739,U / FA,138
79740,G / FA,2
79741,G / FI,7
79742,G / FI,5
79743,G / FA,4
79744,U / FI,0
79745,G / JR,2
79746,G / FI,23
79747,G / RA,0
79748,G / AR,122
79749,G / FI,111
79750,G / FI,1
79751,U / FA,0
79752,G / FI,24
79753,G / RA,0
79754,G / FI,80
79755,G / TA,44
79756,G / FI,1
79757,G / FI,1
79758,G / AR,322
79759,G / FI,340
79760,U / FI,9
79761,U / FI,1
79762,U / FI,1
79763,U / AR,3
79764,U / FI,51
79765,G / FA,11
79766,G / JR,14
79767,U / FI,46
79768,G / EO,180
79769,G / IN,193
79770,G / FI,0
79771,G / FI,824
79772,G / FA,0
79773,G / RA,0
79774,G / AR,4
79775,G / FI,6
79776,G / EO,4
79777,G / IN,2
79778,G / FI,2
79779,G / AR,2
79780,G / FI,1
79781,G / FI,9
79782,G / RA,0
79783,G / FI,3
79784,G / FI,209
79785,G / FI,0
79786,G / FI,0
79787,G / AR,6
79788,G / FI,7
79789,G / JR,0
79790,G / FI,31
79791,G / JR,0
79792,G / NA,3
79793,G / AR,1
79794,G / FI,0
79795,G / FA,15
79796,G / FI,73
79797,G / FI,0
79798,G / FI,7
79799,G / JR,3
79800,G / AR,4
79801,G / FI,21
79802,G / AR,0
79803,G / FI,2
79804,U / FI,1
79805,G / AR,0
79806,G / FI,1
79807,G / SP,0
79808,G / FI,6
79809,G / FA,1
79810,G / FI,1
79811,G / AR,2
79812,G / FI,1
79813,G / FI,12
79814,G / FI,9
79815,G / FI,1
79816,G / AR,2
79817,G / FI,8
79818,G / FA,0
79819,G / EO,597
79820,G / IN,668
79821,G / AR,69
79822,G / FI,153
79823,G / FA,9
79824,G / FI,2
79825,G / RA,0
79826,G / FA,2
79827,G / FI,1
79828,G / FI,20
79829,G / FI,9
79830,J / FA,0
79831,G / AR,227
79832,G / FI,222
79833,G / FI,2
79834,G / JR,0
79835,G / NA,729
79836,G / RA,131
79837,G / AR,0
79838,G / FI,3
79839,G / FI,0
79840,G / FI,27
79841,G / JR,13
79842,G / RA,0
79843,G / RA,1
79844,G / AR,62
79845,G / FI,331
79846,G / AR,0
79847,G / FI,1
79848,U / FI,0
79849,U / RA,0
79850,G / FI,10
79851,G / FI,1
79852,G / SP,1
79853,G / FI,2
79854,G / FI,7
79855,G / AR,1
79856,G / FI,0
79857,G / JR,0
79858,U / AR,2
79859,U / FI,1
79860,G / FI,3
79861,G / AR,8
79862,G / FI,20
79863,G / FI,0
79864,G / FI,0
79865,G / FI,36
79866,G / RA,0
79867,G / FA,6
79868,G / FI,2
79869,G / FI,24
79870,G / AR,121
79871,G / FI,141
79872,U / AR,22
79873,U / FI,84
79874,U / RA,28
79875,G / FA,0
79876,G / JR,0
79877,G / EO,79
79878,G / IN,23
79879,U / FA,2
79880,G / FI,1
79881,G / FI,0
79882,G / AR,0
79883,G / FI,1
79884,G / FI,0
79885,G / EO,2
79886,G / IN,2
79887,G / FI,1
79888,G / AR,11
79889,G / FI,875
79890,G / FA,273
79891,G / FI,4
79892,G / RA,0
79893,G / FA,77
79894,G / FI,0
79895,G / FI,0
79896,G / FI,5
79897,G / TP,3
79898,G / FI,57
79899,G / JR,0
79900,G / NA,95
79901,G / RA,5
79902,G / AR,25
79903,G / FI,94
79904,G / FA,0
79905,G / FI,1
79906,G / FI,5
79907,G / FI,44
79908,G / FI,167
79909,G / RA,0
79910,G / AR,108
79911,G / FI,182
79912,G / AR,2
79913,G / FI,7
79914,G / FI,1
79915,G / FI,5
79916,G / FI,2
79917,U / FA,0
79918,G / FI,0
79919,U / FI,233
79920,U / FI,11
79921,G / FI,2
79922,G / FI,2
79923,G / FI,0
79924,G / FA,1
79925,G / JR,13
79926,G / FI,95
79927,G / RA,0
79928,G / AR,709
79929,G / FI,433
79930,G / FI,2
79931,G / FI,0
79932,G / FI,17
79933,G / RA,0
79934,G / FA,10
79935,G / AR,809
79936,G / FI,1108
79937,U / AR,5
79938,U / FI,19
79939,U / FI,1
79940,U / FA,1
79941,U / FI,14
79942,G / FA,6
79943,G / JR,2
79944,G / IN,0
79945,G / FI,0
79946,G / AR,1
79947,G / FI,7
79948,G / FA,66
79949,G / JR,0
79950,G / AR,10239
79951,G / FI,176
79952,G / RA,0
79953,G / FI,68
79954,G / FI,290
79955,G / TP,38
79956,G / AR,0
79957,G / FI,1
79958,G / JR,0
79959,G / NA,748
79960,G / RA,97
79961,G / AR,1
79962,G / FI,1
79963,G / FA,0
79964,G / FI,3
79965,G / FI,45
79966,G / FI,631
79967,G / JR,23
79968,G / RA,0
79969,G / RA,0
79970,G / AR,3
79971,G / FI,308
79972,G / AR,15995
79973,G / FI,108
79974,U / FI,2
79975,G / FI,29
79976,G / JR,0
79977,G / SP,1
79978,G / FI,3248
79979,U / FI,949
79980,G / FI,49
79981,G / AR,181
79982,G / FI,2
79983,G / JR,12
79984,G / JR,258
79985,G / AR,181
79986,G / FI,426
79987,G / JR,192
79988,G / FI,0
79989,G / AR,14
79990,G / FI,8
79991,G / JR,91
79992,G / FI,729
79993,G / RA,0
79994,G / FI,4
79995,G / FI,12
79996,G / TA,5
79997,G / FA,0
79998,G / FI,31
79999,U / FI,1
80000,G / AR,0
80001,G / FI,3
80002,G / FI,1
80003,G / AR,738
80004,G / FI,734
80005,G / EO,922
80006,G / IN,197
80007,G / AR,0
80008,G / FI,66
80009,G / FI,0
80010,G / FI,0
80011,G / FA,3
80012,G / FI,3
80013,G / RA,0
80014,G / FA,0
80015,U / FI,0
80016,G / FI,17
80017,G / FI,49
80018,G / TP,2
80019,G / FI,0
80020,G / JR,0
80021,G / NA,14
80022,G / RA,2
80023,U / FI,9
80024,G / FI,0
80025,G / FA,0
80026,U / AR,0
80027,U / FI,1
