,난민 지위,전쟁 난민 인원 현황
734,G / FA,2
735,G / AR,1
736,G / FI,6
737,G / EO,5
738,G / FI,3
739,G / FI,1
740,G / FI,1
741,G / RA,1
742,G / NA,4
743,G / FI,3
744,G / FA,0
745,G / EO,29
746,G / AR,17
747,G / FI,45
748,G / FI,4
749,G / AR,7
750,G / JR,0
751,G / AR,0
752,G / FI,2
753,U / FI,5
754,G / FI,8
755,G / NA,0
756,G / FI,7
757,G / CA,15
758,G / FI,105
759,G / FI,1
760,G / FI,1
761,G / AR,17
762,G / FI,36
763,G / FI,3
764,G / FI,125
765,G / IN,6664
766,G / EO,7865
767,U / FI,14
768,U / AR,24
769,U / FI,32
770,G / AR,32
771,G / FI,43
772,G / FI,0
773,U / FI,1
774,U / FI,1
775,G / FI,2
776,U / FI,1
777,G / FI,8
778,G / AR,1
779,G / FI,4
780,G / JR,0
781,G / AR,321
782,G / FI,1325
783,U / FI,3
784,G / FI,0
785,U / FI,5
786,G / FI,0
787,U / FI,9
788,G / FI,4
789,U / FI,1
790,U / FI,10
791,G / FI,13
792,U / FI,1
793,G / FA,21
794,G / FI,8
795,U / FI,1
796,U / FI,1
797,G / FI,194
798,G / FI,4
799,G / BL,210
800,G / FI,5650
801,G / FI,4725
802,G / AR,4907
803,G / FI,12
804,G / FI,7
805,U / FI,1
806,G / AR,11
807,G / FI,27
808,G / RA,137
809,G / NA,2044
810,G / AR,1
811,G / FI,216
812,G / CA,10
813,G / FI,61
814,G / FI,2260
815,G / FI,21
816,G / FI,0
817,G / FI,1
818,G / AR,2
819,G / FI,8
820,G / FA,77
821,G / AR,585
822,G / FI,1311
823,G / FI,130
824,G / IN,72
825,G / EO,72
826,G / FI,1
827,G / AR,1
828,G / FI,1
829,G / FI,1
830,G / FI,0
831,G / FI,2
832,G / FI,1
833,G / FI,1
834,G / JR,0
835,G / AR,10
836,G / FI,57
837,U / FI,0
838,U / FI,2
839,U / FI,0
840,G / FA,3
841,G / FI,20
842,G / FI,4
843,U / FI,1
844,G / FI,2
845,G / FI,1
846,G / BL,75
847,G / FI,295
848,U / FI,0
849,G / AR,0
850,G / FI,42
851,G / FI,7
852,G / FI,2
853,G / RA,30
854,G / NA,165
855,G / AR,2
856,G / FI,3
857,U / FI,1
858,G / CA,17
859,G / FI,77
860,G / FI,44
861,G / FI,1
862,G / FI,1
863,G / FI,4
864,G / AR,2
865,G / FI,4
866,G / FA,7
867,G / AR,1
868,G / FI,0
869,G / FI,3
870,G / FI,231
871,G / EO,216
872,G / IN,561
873,G / FI,9
874,U / FI,1
875,G / AR,1
876,G / FI,7
877,G / FI,6
878,G / FI,5
879,G / FI,7
880,G / FI,0
881,G / AR,1
882,G / FI,9
883,G / FI,30
884,G / AR,47
885,G / JR,0
886,G / AR,27
887,G / FI,183
888,G / FI,6
889,U / FI,2
890,G / FI,0
891,G / FI,0
892,G / FI,1
893,U / FI,0
894,U / FI,1
895,G / FI,0
896,G / FI,0
897,U / FI,1
898,G / FA,20
899,G / FI,21
900,G / FI,57
901,G / FI,0
902,G / FI,1
903,G / FI,5
904,U / FI,0
905,G / FI,56
906,G / AR,1
907,G / FI,20
908,G / FI,16
909,U / FI,0
910,U / FI,5
911,G / AR,12
912,G / FI,15
913,G / RA,68
914,G / NA,718
915,G / FI,0
916,U / FI,1
917,U / FI,1
918,G / FI,2
919,G / CA,13
920,G / FI,131
921,G / FI,109
922,G / FI,1
923,G / FI,8
924,G / FI,2
925,G / FI,2
926,G / FI,26
927,G / AR,64
928,G / FI,107
929,G / FA,31
930,G / AR,0
931,G / FI,4
932,U / FI,0
933,G / FI,1044
934,G / FI,163
935,G / FI,216
936,G / EO,72
937,G / IN,294
938,G / FI,2
939,G / FI,125
940,U / FI,1
941,U / FI,115
942,G / AR,52
943,G / FI,52
944,G / FI,2
945,U / FI,1
946,U / FI,1
947,G / FI,21
948,U / FI,4
949,G / FI,3
950,G / FI,5
951,G / FI,13
952,G / FI,0
953,U / FI,0
954,G / FI,7
955,G / JR,0
956,G / AR,273
957,G / FI,567
958,U / FI,6
959,G / FI,0
960,U / FI,4
961,G / FI,0
962,U / FI,11
963,G / FI,5
964,G / FI,9
965,U / FI,1
966,U / FI,1
967,G / FI,1
968,G / FI,0
969,U / FI,6
970,G / FI,2
971,G / FI,0
972,U / FI,349
973,U / FI,5
974,G / FA,86
975,G / FI,1
976,G / TR,1
977,G / FI,261
978,U / FI,0
979,G / FI,9
980,U / FI,0
981,G / FI,17
982,G / FI,20
983,G / FI,6
984,G / BL,685
985,G / FI,1315
986,U / FI,0
987,G / AR,388
988,G / FI,855
989,G / FI,1
990,G / FI,4
991,G / FI,144
992,U / FI,6
993,U / FI,43
994,G / AR,5
995,G / FI,10
996,U / FI,0
997,G / RA,685
998,G / NA,804
999,G / FI,16
1000,U / FI,1
1001,U / FI,240
1002,U / FI,147
1003,G / FI,28
1004,U / FI,2
1005,G / FI,0
1006,G / CA,80
1007,G / FI,685
1008,G / FI,910
1009,G / FI,9223
1010,G / FI,8
1011,G / FI,20
1012,G / FI,0
1013,G / FI,2
1014,G / FI,1
1015,G / FI,750
1016,G / AR,387
1017,G / FI,825
1018,G / FI,0
1019,G / FA,103
1020,G / FI,1
1021,G / AR,3
1022,G / FI,0
1023,U / FI,84
1024,G / FI,36
1025,U / FI,0
1026,G / IN,344
1027,G / EO,257
1028,G / FI,23
1029,U / FI,1
1030,U / FI,1
1031,U / FI,40
1032,U / FI,7
1033,U / FI,3
1034,G / FI,4
1035,G / AR,13
1036,G / FI,2
1037,G / FI,14
1038,U / FI,0
1039,G / FI,4
1040,G / FI,2
1041,G / FI,2
1042,U / FI,0
1043,G / AR,3
1044,G / FI,7
1045,G / JR,0
1046,G / AR,169
1047,G / FI,845
1048,G / FI,66
1049,U / FI,4
1050,G / FI,0
1051,U / FI,7
1052,G / FI,1
1053,G / FI,1
1054,U / FI,2
1055,U / FI,42
1056,G / FI,0
1057,G / FI,1
1058,G / FI,1
1059,U / FI,0
1060,U / FI,1
1061,G / FA,124
1062,U / FI,6
1063,G / FI,30
1064,U / FI,2
1065,U / FI,3
1066,G / FI,1
1067,U / FI,1
1068,U / FI,0
1069,G / FI,4
1070,G / AR,134
1071,G / FI,490
1072,G / AR,6
1073,G / FI,10
1074,G / FI,30
1075,U / FI,10
1076,U / FI,1
1077,G / FI,0
1078,G / RA,4
1079,G / NA,45
1080,G / FI,0
1081,G / AR,15
1082,U / FI,4
1083,U / FI,134
1084,U / FI,39
1085,G / FI,116
1086,U / FI,6
1087,G / CA,7
1088,G / FI,39
1089,G / FI,98
1090,G / FI,0
1091,G / FI,2
1092,G / FI,2
1093,G / FI,11
1094,G / FI,0
1095,G / FI,943
1096,G / AR,20
1097,G / FI,64
1098,G / FI,0
1099,G / FA,24
1100,G / AR,2
1101,G / FI,6
1102,G / FI,0
1103,U / FI,12
1104,G / FI,24
1105,G / EO,808
1106,G / IN,1978
1107,U / FI,5
1108,G / FI,43
1109,G / AR,80
1110,U / FI,0
1111,G / FI,3
1112,U / FI,3
1113,G / FI,156
1114,G / FI,77
1115,G / AR,106
1116,G / JR,0
1117,G / AR,2
1118,G / FI,33
1119,G / FI,2
1120,U / FI,19
1121,G / FA,26
1122,U / FI,0
1123,G / FI,1
1124,G / FI,1
1125,U / FI,8
1126,G / BL,190
1127,G / FI,1895
1128,G / FI,118
1129,G / AR,1
1130,G / FI,661
1131,U / FI,1492
1132,G / AR,2
1133,G / FI,7
1134,G / RA,2
1135,G / NA,170
1136,U / FI,0
1137,G / FI,517
1138,G / FI,19
1139,G / CA,3
